(Intercept) as.factor(phenotypes$Age.x)1 as.factor(phenotypes$Age.x)2 as.factor(phenotypes$Age.x)3 as.factor(phenotypes$Age.x)4 as.factor(phenotypes$Age.x)5 as.factor(phenotypes$Age.x)6 as.factor(phenotypes$Age.x)7 as.factor(phenotypes$Age.x)8 as.factor(phenotypes$Age.x)9 as.factor(phenotypes$Age.x)10 as.factor(phenotypes$Age.y)3 as.factor(phenotypes$Age.y)4 as.factor(phenotypes$Age.y)5 as.factor(phenotypes$Age.y)6 as.factor(phenotypes$Age.y)7 as.factor(phenotypes$Age.y)8 as.factor(phenotypes$Age.y)9 as.factor(phenotypes$Gen.Line)RAMB as.factor(phenotypes$Gen.Line)UNKN as.factor(phenotypes$Management.Group)1 as.factor(phenotypes$Management.Group)2 as.factor(phenotypes$Lambs.Birthed.x)2 as.factor(phenotypes$Lambs.Birthed.x)3 as.factor(phenotypes$Lambs.Birthed.x)4 as.factor(phenotypes$Lambs.Birthed.y)2 as.factor(phenotypes$Lambs.Birthed.y)3
0.2408855 -0.8031575 -0.4688362 -0.5879893 -0.4629914 -0.4155555 -0.777942 -0.03879604 -0.3114471 -0.7197204 0.09336317 0.3990402 0.2396461 0.2973083 -0.5003445 -0.3188658 1.106544 0.8091341 0.4283183 0.1044959 1.071888 0.1200498 0.1666159 0.5559371 0.4283082 -0.03384629 0.747525
0.2561375 -1.000487 -0.235482 -0.6837097 -0.6002673 -0.5019271 -0.4133347 -0.2388801 -0.4950983 -0.6576446 -1.279982 0.1343461 0.2202808 0.2304803 -0.5842193 -0.5245471 2.346093 1.370736 0.4383585 0.03399675 0.9582168 0.1464573 0.1449618 0.2526308 -0.1857248 -0.06659089 0.6192396
0.1313092 -0.1547958 -0.4280171 -0.6087072 -0.5235737 -0.5955603 -0.6382399 -0.4050197 -0.252589 -0.6058229 -0.9389628 0.3650335 0.4504982 0.3705844 -0.5913259 0.2017329 0.539849 1.351116 0.3624634 -0.3535369 0.9753141 0.08740917 0.2296275 0.557441 0.07123969 -0.01207531 0.2816524
-0.06629071 -0.3068788 -0.2389749 -0.4146057 -0.3906981 -0.3803857 -0.6279766 -0.01041527 -0.3761451 -0.4828 -0.4281024 0.3285475 0.2366258 0.2762008 -0.6907127 -0.3169 0.5490187 1.136777 0.3228795 -0.176124 1.028773 0.08973145 0.1773939 0.4397989 1.023764 -0.1484783 0.3716433
-0.0472561 -0.2261584 -0.4078166 -0.3921179 -0.3894107 -0.2693093 -0.5077856 -0.3139424 -0.2539914 -0.3447437 -1.239886 0.2046719 0.01493377 0.205086 -0.9436138 -0.9646229 -0.5781013 1.102797 0.3802057 -0.1426158 1.086897 0.217272 0.1689141 0.4422596 0.1663049 0.1596868 0.4835331
-0.07332095 0.4111792 -0.3811681 -0.5121158 -0.4571061 -0.4105522 -0.5919369 -0.1900162 -0.4800863 -0.9584375 -0.863624 0.3379323 0.1593058 0.1445614 -0.7777126 -0.1494205 -0.1920408 0.01094254 0.3543857 -0.0765799 0.8680066 0.1881585 0.2055316 0.3610751 0.4834164 0.03898608 -0.02747227
0.12138 -0.3335082 -0.4962305 -0.8042651 -0.4722821 -0.4983472 -0.8097382 -0.2675323 -0.4048208 -0.9211401 0.07555925 0.1727687 -0.01972997 0.1390922 -0.5222901 -0.3613799 0.4406072 0.4908423 0.4301303 0.1445459 0.9232823 0.2612724 0.2570686 0.3817889 1.170479 0.0623874 0.3540957
0.02075538 -0.1922517 -0.5613184 -0.6130685 -0.3816945 -0.5015499 -0.8126166 -0.3186364 -0.544497 -0.9365522 -0.6849727 0.2530041 -0.06636137 -0.0244432 -0.2364015 0.5955137 -0.151903 0.4568237 0.4881199 0.2949278 0.4069613 0.225583 0.1447027 0.3301243 0.1499235 0.1742032 -0.22662
0.08115889 -0.111292 -0.6344739 -0.6608584 -0.6282486 -0.6678872 -0.6966085 -0.5142069 -0.7552718 -0.5920573 -0.5899702 0.2226343 0.1214664 0.107072 -0.6459132 -0.2886876 2.427177 -0.2804575 0.2592762 0.235962 0.9123857 0.2654779 0.1507468 0.4823198 0.03533283 -0.06835441 0.6263321
0.2085843 0.6559156 -0.650231 -0.7957375 -0.5627797 -0.6500161 -0.7876612 -0.3701116 -0.4993591 -0.6529738 -0.8747129 0.1808285 0.03423376 0.2091341 -0.8037562 -0.3758325 0.9151099 1.228781 0.359344 -0.003233728 1.035792 0.1551568 0.1882885 0.3604484 0.534267 0.04981055 -0.125852
